Date/Time, Temperature A, Temperature B, Damper 
02/27/2018 00:04:09, 26.17629, 28.34314, 10
02/27/2018 01:04:10, 26.19574, 28.33758, 10
02/27/2018 02:04:14, 26.19018, 28.37647, 10
02/27/2018 03:04:15, 26.24852, 28.39869, 10
02/27/2018 04:04:15, 26.2513, 28.43759, 10
02/27/2018 05:04:25, 26.30686, 28.48481, 10
02/27/2018 06:04:34, 26.29575, 28.48203, 10
02/27/2018 07:04:37, 26.4402, 28.62371, 10
02/27/2018 08:04:41, 25.79571, 28.61816, 10
02/27/2018 09:04:49, 25.14844, 28.66816, 10
02/27/2018 10:04:56, 25.12343, 28.72928, 10
02/27/2018 11:05:00, 25.06509, 28.70983, 10
02/27/2018 12:05:09, 25.15121, 28.8404, 10
02/27/2018 13:05:19, 25.17066, 28.88762, 13.33333
02/27/2018 14:05:25, 25.16788, 28.90707, 15
02/27/2018 15:05:27, 25.23178, 28.9793, 15
02/27/2018 16:05:28, 25.22622, 29.02652, 15
02/27/2018 17:05:38, 25.29011, 29.03208, 15
02/27/2018 18:05:40, 25.21233, 29.00985, 15
02/27/2018 19:05:40, 25.25955, 29.0682, 15
02/27/2018 20:05:44, 25.254, 29.16264, 15
02/27/2018 21:05:51, 25.32901, 29.12375, 15
02/27/2018 22:05:51, 25.35956, 29.22931, 15
02/27/2018 23:06:00, 25.31789, 29.2821, 15
02/28/2018 00:06:08, 25.33734, 29.29321, 15
02/28/2018 01:06:16, 25.33734, 29.34322, 15
02/28/2018 02:06:24, 25.34012, 29.39877, 15
02/28/2018 03:06:24, 25.44568, 29.41266, 15
02/28/2018 04:06:31, 25.48179, 29.421, 15
02/28/2018 05:06:39, 25.47346, 29.48767, 15
02/28/2018 06:06:47, 25.51513, 29.51822, 15
02/28/2018 07:06:55, 25.52624, 29.54323, 15
02/28/2018 08:07:03, 25.54569, 29.61546, 15
02/28/2018 09:07:04, 25.60958, 29.72936, 15
02/28/2018 10:07:13, 25.60125, 29.73492, 15
02/28/2018 11:07:13, 25.66514, 29.75158, 15
02/28/2018 12:07:21, 25.70681, 29.82381, 15
02/28/2018 13:07:28, 25.6707, 29.81825, 15
02/28/2018 14:07:32, 25.79293, 29.81825, 15
02/28/2018 15:07:36, 25.7846, 29.8627, 15
02/28/2018 16:07:44, 25.73459, 29.93493, 15
02/28/2018 17:07:46, 25.78737, 29.95715, 15
02/28/2018 18:07:51, 25.83738, 30.01549, 15
02/28/2018 19:07:55, 25.79293, 30.06271, 15
02/28/2018 20:08:03, 25.80126, 30.08216, 15
02/28/2018 21:08:12, 25.93183, 30.12938, 15
02/28/2018 22:08:14, 25.91794, 30.24328, 15
02/28/2018 23:08:21, 25.96239, 30.19051, 15
03/01/2018 00:08:26, 25.97072, 30.32663, 15
03/01/2018 01:08:30, 25.99294, 30.36552, 15
03/01/2018 02:08:36, 25.99017, 30.39886, 15
03/01/2018 03:08:43, 26.03739, 30.42385, 15
03/01/2018 04:08:46, 26.05962, 30.44886, 15
03/01/2018 05:08:50, 26.07907, 30.50441, 15
03/01/2018 06:08:57, 26.07351, 30.52109, 15
03/01/2018 07:09:04, 26.13185, 30.59054, 15
03/01/2018 08:09:12, 26.1374, 30.61832, 15
03/01/2018 09:09:15, 26.19296, 30.74888, 15
03/01/2018 10:09:21, 26.25408, 30.6961, 15
03/01/2018 11:09:26, 26.26241, 30.77666, 15
03/01/2018 12:09:33, 26.29575, 30.81, 15
03/01/2018 13:09:37, 26.30686, 30.84056, 15
03/01/2018 14:09:44, 26.31797, 30.90445, 15
03/01/2018 15:09:48, 26.3652, 30.94056, 15
03/01/2018 16:09:51, 26.36798, 30.96279, 15
03/01/2018 17:09:54, 26.39854, 30.99057, 15
03/01/2018 18:09:59, 26.37354, 31.01835, 15
03/01/2018 19:10:04, 26.43187, 31.07391, 15
03/01/2018 20:10:07, 26.43465, 31.09613, 15
03/01/2018 21:10:14, 26.49299, 31.15725, 15
03/01/2018 22:10:22, 26.52355, 31.20447, 15
03/01/2018 23:10:27, 26.51799, 31.19059, 15
03/02/2018 00:10:34, 26.56522, 31.24893, 15
03/02/2018 01:10:42, 26.5791, 31.26281, 15
03/02/2018 02:10:52, 26.61244, 31.27115, 15
03/02/2018 03:10:58, 26.61244, 31.40726, 15
03/02/2018 04:11:07, 26.63188, 31.40727, 15
03/02/2018 05:11:16, 26.62633, 31.47672, 15
03/02/2018 06:11:15, 26.69856, 31.52673, 15
03/02/2018 07:11:23, 26.74023, 31.54339, 15
03/02/2018 08:11:22, 26.74857, 31.60173, 15
03/02/2018 09:11:25, 26.71801, 31.57394, 15
03/02/2018 10:11:30, 26.82635, 31.61007, 15
03/02/2018 11:11:36, 26.83468, 31.65729, 15
03/02/2018 12:11:42, 26.86802, 31.79063, 15
03/02/2018 13:11:49, 26.9208, 31.84897, 15
03/02/2018 14:11:55, 26.93747, 31.79063, 15
